,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start,class_coarse,si_integral,last_dead_per_10k,last_tests_per_10k,si_response_time,c1_response_time,c2_response_time,c3_response_time,c4_response_time,c5_response_time,c6_response_time,c7_response_time,c8_response_time,h2_response_time,h3_response_time,testing_response_time_1,testing_response_time_10,testing_response_time_100,testing_response_time_1000
0,4.0,Aruba,ABW,45.0,106314.0,14586.725,2020-09-01,0.0,1.0,2020-11-22,2020-03-17,EPI_SECOND_WAVE,34875.74,10.064525838553719,0.0,-156.0,-169.0,-156.0,-156.0,-156.0,,-156.0,-156.0,-168.0,,189.0,,,,
1,4.0,Aruba,ABW,62.0,106314.0,10461.12,2021-01-26,0.0,2.0,2021-07-01,2020-11-22,EPI_SECOND_WAVE,34875.74,10.064525838553719,0.0,-156.0,-169.0,-156.0,-156.0,-156.0,,-156.0,-156.0,-168.0,,189.0,,,,
2,5.0,Afghanistan,AFG,1466.0,38041754.0,13709.214999999998,2020-04-07,0.0,1.0,2020-10-04,2020-02-24,EPI_THIRD_WAVE,27039.055000000004,1.3043562607549588,0.0,-10.0,-24.0,-14.0,-37.0,-2.0,-10.0,-13.0,5.0,488.0,133.0,133.0,,,,
3,5.0,Afghanistan,AFG,980.0,38041754.0,1898.5699999999995,2020-10-09,0.0,2.0,2021-03-04,2020-10-04,EPI_THIRD_WAVE,27039.055000000004,1.3043562607549588,0.0,-10.0,-24.0,-14.0,-37.0,-2.0,-10.0,-13.0,5.0,488.0,133.0,133.0,,,,
4,5.0,Afghanistan,AFG,0.0,38041754.0,11418.775000000001,2021-03-14,0.0,3.0,2022-06-08,2021-03-04,EPI_THIRD_WAVE,27039.055000000004,1.3043562607549588,0.0,-10.0,-24.0,-14.0,-37.0,-2.0,-10.0,-13.0,5.0,488.0,133.0,133.0,,,,
5,3.0,Angola,AGO,500.0,31825295.0,24449.82,2020-06-23,0.0,1.0,2021-02-24,2020-03-21,EPI_SECOND_WAVE,49123.14,0.28279392225586597,0.0,-88.0,-91.0,-88.0,-88.0,-88.0,-88.0,-88.0,-88.0,-95.0,120.0,655.0,,,,
6,3.0,Angola,AGO,0.0,31825295.0,24364.945,2021-03-03,0.0,2.0,2022-06-08,2021-02-24,EPI_SECOND_WAVE,49123.14,0.28279392225586597,0.0,-88.0,-91.0,-88.0,-88.0,-88.0,-88.0,-88.0,-88.0,-95.0,120.0,655.0,,,,
7,4.0,Albania,ALB,1199.0,2854191.0,20268.434999999998,2020-03-30,257508.0,1.0,2021-01-05,2020-03-09,EPI_SECOND_WAVE,43505.795,8.604890142250467,2778.1935406565294,-17.0,-21.0,,-21.0,19.0,-17.0,-17.0,-17.0,-7.0,424.0,57.0,-18.0,9.0,105.0,290.0
8,4.0,Albania,ALB,1263.0,2854191.0,9743.100000000002,2021-01-06,538806.5,2.0,2021-07-01,2021-01-05,EPI_SECOND_WAVE,43505.795,8.604890142250467,2778.1935406565294,-17.0,-21.0,,-21.0,19.0,-17.0,-17.0,-17.0,-7.0,424.0,57.0,-18.0,9.0,105.0,290.0
9,2.0,Andorra,AND,127.0,77142.0,23497.079999999998,2020-03-31,0.0,1.0,2021-07-01,2020-03-03,EPI_FIRST_WAVE,35565.994999999995,16.46314588680615,0.0,393.0,-15.0,-17.0,98.0,174.0,,393.0,,,18.0,120.0,,,,
